"CPSID","COUNTY","weight","hhsize","FSTOTXPNC_perpers","FSSTATUS","FSSTATUSMD","FSFOODS","FSWROUTY","FSBAL","FSRAWSCRA","FSTOTXPNC","FAMINC","female","hispanic","black","kids","elderly","education","married","femhispanic"
"20211102304400","0",2325.0746,1,60,1,1,1,99,99,0,60,1,1,0,0,0,0,1,0,0
"20211102305300","0",2200.8703,1,999,99,99,99,99,99,99,999,99,1,0,0,0,1,0,0,0
"20211102305800","0",2129.6195,4,62.5,1,1,1,99,99,0,250,1,2,0,0,2,0,2,2,0
"20211102305800","0",2129.6195,4,62.5,1,1,1,99,99,0,250,1,2,0,0,2,0,2,2,0
"20211102305800","0",2129.6195,4,62.5,1,1,1,99,99,0,250,1,2,0,0,2,0,2,2,0
"20211102305800","0",2129.6195,4,62.5,1,1,1,99,99,0,250,1,2,0,0,2,0,2,2,0
"20211102305900","0",1761.1592,3,333,99,99,99,99,99,99,999,99,2,0,0,1,0,1,0,0
"20211102305900","0",1761.1592,3,333,99,99,99,99,99,99,999,99,2,0,0,1,0,1,0,0
"20211102305900","0",1761.1592,3,333,99,99,99,99,99,99,999,99,2,0,0,1,0,1,0,0
"20211102306700","0",1945.7908,1,210,2,1,2,2,2,4,210,2,0,0,0,0,0,0,0,0
"20211102308300","0",2610.6716,2,175,2,2,3,2,3,3,350,2,1,0,0,0,1,1,2,0
"20211102308300","0",2610.6716,2,175,2,2,3,2,3,3,350,2,1,0,0,0,1,1,2,0
"20211102309500","0",2573.173,2,115,1,1,1,99,99,0,230,1,1,0,0,0,0,0,2,0
"20211102309500","0",2573.173,2,115,1,1,1,99,99,0,230,1,1,0,0,0,0,0,2,0
"20211102310200","0",2133.1108,4,67.5,1,1,2,1,1,0,270,1,3,4,0,1,0,1,2,0
"20211102310200","0",2133.1108,4,67.5,1,1,2,1,1,0,270,1,3,4,0,1,0,1,2,0
"20211102310200","0",2133.1108,4,67.5,1,1,2,1,1,0,270,1,3,4,0,1,0,1,2,0
"20211102310200","0",2133.1108,4,67.5,1,1,2,1,1,0,270,1,3,4,0,1,0,1,2,0
"20211102310500","0",1761.1592,1,150,1,1,1,99,99,0,150,1,0,0,0,0,0,1,0,0
"20211102311700","0",2612.6628,2,499.5,99,99,99,99,99,99,999,99,1,0,0,0,2,1,2,0
"20211102311700","0",2612.6628,2,499.5,99,99,99,99,99,99,999,99,1,0,0,0,2,1,2,0
"20211102312000","0",2610.6716,2,499.5,99,99,99,99,99,99,999,99,1,1,0,0,1,2,2,0
"20211102312000","0",2610.6716,2,499.5,99,99,99,99,99,99,999,99,1,1,0,0,1,2,2,0
"20211102312600","0",2409.551,3,73.3333333333333,2,1,2,2,2,3,220,2,0,0,3,1,1,0,0,0
"20211102312600","0",2409.551,3,73.3333333333333,2,1,2,2,2,3,220,2,0,0,3,1,1,0,0,0
"20211102312600","0",2409.551,3,73.3333333333333,2,1,2,2,2,3,220,2,0,0,3,1,1,0,0,0
"20211102313400","0",2418.2432,1,999,99,99,99,99,99,99,999,99,1,0,0,0,0,1,0,0
"20211102314000","0",2400.0895,4,40,1,1,1,99,99,0,160,1,2,0,0,0,0,2,2,0
"20211102314000","0",2400.0895,4,40,1,1,1,99,99,0,160,1,2,0,0,0,0,2,2,0
"20211102314000","0",2400.0895,4,40,1,1,1,99,99,0,160,1,2,0,0,0,0,2,2,0
"20211102314000","0",2400.0895,4,40,1,1,1,99,99,0,160,1,2,0,0,0,0,2,2,0
"20211102314100","0",2610.6716,1,40,1,1,1,1,2,1,40,1,1,0,0,0,0,0,0,0
"20211102314700","0",3724.6,5,32,2,1,1,1,1,0,160,2,4,5,5,4,0,0,0,0
